ibu,alk,ext,style,name
75,6.5,16,"American IPA","Szalony Alchemik"
28,4.2,12.5,"Summer Ale","Miss Lata"
40,4,10.5,"Session IPA","Tajemniczy Jeździec"
42,5.7,14.5,"Pils","Dziki Samotnik"
20,2.9,7.7,"Pszeniczne","Dębowa Panienka"
36,5.2,12.5,"Pszeniczne","Piękna Nieznajoma"
28,4.8,14.0,"Ale","Mała Czarna"
35,4.6,12.5,"American IPA","Nieproszony Gość"
20,5.2,12.5,"Pils","Ostatni sprawiedliwy"
30,4.8,12.5,"Pszeniczne","Dziedzic Pruski"
75,7.5,18.0,"Summer Ale","Bawidamek"
45,4.7,12.0,"Pils","Miś Wojtek"
20,5.2,13.0,"Pils","The Dancer"
30,4.7,12.0,"Pszeniczne","The Dealer"
120,8.9,19.0,"American IPA","The Fighter"
85,6.4,16.0,"American IPA","The Alchemist"
100,10.3,24,"Pszeniczne","The Gravedigger"
40,4.8,12.0,"American IPA","The Teacher"
75,7.0,16.0,"Ale","The Butcher"
80,6.7,16.0,"Ale","The Miner"